Model metrics per slice
category_feature:workclass 	category:Private 	precision:0.7543859649122807 	recall:0.6013986013986014 	fbeta:0.669260700389105 	num_elements:4499 
category_feature:workclass 	category:State-gov 	precision:0.7368421052631579 	recall:0.6461538461538462 	fbeta:0.6885245901639344 	num_elements:247 
category_feature:workclass 	category:Federal-gov 	precision:0.7230769230769231 	recall:0.6811594202898551 	fbeta:0.7014925373134329 	num_elements:174 
category_feature:workclass 	category:Local-gov 	precision:0.6869565217391305 	recall:0.6869565217391305 	fbeta:0.6869565217391305 	num_elements:413 
category_feature:workclass 	category:Self-emp-not-inc 	precision:0.7272727272727273 	recall:0.5217391304347826 	fbeta:0.6075949367088608 	num_elements:493 
category_feature:workclass 	category:Self-emp-inc 	precision:0.7727272727272727 	recall:0.7391304347826086 	fbeta:0.7555555555555555 	num_elements:205 
category_feature:workclass 	category:Without-pay 	precision:1.0 	recall:1.0 	fbeta:1.0 	num_elements:2 
category_feature:education 	category:Some-college 	precision:0.6958762886597938 	recall:0.503731343283582 	fbeta:0.5844155844155844 	num_elements:1342 
category_feature:education 	category:Bachelors 	precision:0.7236533957845434 	recall:0.7686567164179104 	fbeta:0.7454764776839566 	num_elements:1007 
category_feature:education 	category:Prof-school 	precision:0.9 	recall:0.935064935064935 	fbeta:0.9171974522292993 	num_elements:102 
category_feature:education 	category:7th-8th 	precision:1.0 	recall:0.375 	fbeta:0.5454545454545454 	num_elements:114 
category_feature:education 	category:Masters 	precision:0.837696335078534 	recall:0.8695652173913043 	fbeta:0.8533333333333334 	num_elements:325 
category_feature:education 	category:HS-grad 	precision:0.6632124352331606 	recall:0.3688760806916426 	fbeta:0.4740740740740741 	num_elements:1952 
category_feature:education 	category:5th-6th 	precision:1.0 	recall:1.0 	fbeta:1.0 	num_elements:54 
category_feature:education 	category:Assoc-voc 	precision:0.7708333333333334 	recall:0.5 	fbeta:0.6065573770491803 	num_elements:275 
category_feature:education 	category:11th 	precision:0.5 	recall:0.16666666666666666 	fbeta:0.25 	num_elements:197 
